gene,is_de,true_log2fc
GENE4164,0,0.0
GENE4165,0,0.0
GENE4166,0,0.0
GENE4167,0,0.0
GENE4168,0,0.0
GENE4169,0,0.0
GENE4170,1,-2.877
GENE4171,0,0.0
GENE4172,0,0.0
GENE4173,0,0.0
GENE4174,0,0.0
GENE4175,1,-1.79
GENE4176,0,0.0
GENE4177,0,0.0
GENE4178,0,0.0
GENE4179,0,0.0
GENE4180,0,0.0
GENE4181,0,0.0
GENE4182,0,0.0
GENE4183,0,0.0
GENE4184,0,0.0
GENE4185,0,0.0
GENE4186,0,0.0
GENE4187,0,0.0
GENE4188,0,0.0
GENE4189,0,0.0
GENE4190,0,0.0
GENE4191,0,0.0
GENE4192,0,0.0
GENE4193,0,0.0
GENE4194,0,0.0
GENE4195,1,-1.507
GENE4196,0,0.0
GENE4197,0,0.0
GENE4198,0,0.0
GENE4199,0,0.0
GENE4200,0,0.0
GENE4201,1,-2.158
GENE4202,0,0.0
GENE4203,0,0.0
GENE4204,0,0.0
GENE4205,0,0.0
GENE4206,0,0.0
GENE4207,0,0.0
GENE4208,0,0.0
GENE4209,0,0.0
GENE4210,0,0.0
GENE4211,0,0.0
GENE4212,0,0.0
GENE4213,1,-2.1
GENE4214,0,0.0
GENE4215,0,0.0
GENE4216,0,0.0
GENE4217,0,0.0
GENE4218,0,0.0
GENE4219,0,0.0
GENE4220,0,0.0
GENE4221,0,0.0
GENE4222,0,0.0
GENE4223,0,0.0
GENE4224,1,-2.237
GENE4225,0,0.0
GENE4226,0,0.0
GENE4227,0,0.0
GENE4228,0,0.0
GENE4229,1,-1.284
GENE4230,0,0.0
GENE4231,1,1.684
GENE4232,1,-2.073
GENE4233,0,0.0
GENE4234,0,0.0
GENE4235,0,0.0
GENE4236,0,0.0
GENE4237,0,0.0
GENE4238,0,0.0
GENE4239,0,0.0
GENE4240,0,0.0
GENE4241,0,0.0
GENE4242,0,0.0
GENE4243,0,0.0
GENE4244,0,0.0
GENE4245,0,0.0
GENE4246,0,0.0
GENE4247,0,0.0
GENE4248,1,2.962
GENE4249,0,0.0
GENE4250,0,0.0
GENE4251,0,0.0
GENE4252,0,0.0
GENE4253,0,0.0
GENE4254,0,0.0
GENE4255,0,0.0
GENE4256,0,0.0
GENE4257,0,0.0
GENE4258,0,0.0
GENE4259,0,0.0
GENE4260,0,0.0
GENE4261,0,0.0
GENE4262,0,0.0
GENE4263,0,0.0
GENE4264,0,0.0
GENE4265,0,0.0
GENE4266,0,0.0
GENE4267,0,0.0
GENE4268,0,0.0
GENE4269,0,0.0
GENE4270,1,-1.081
GENE4271,0,0.0
GENE4272,0,0.0
GENE4273,1,2.905
GENE4274,0,0.0
GENE4275,0,0.0
GENE4276,0,0.0
GENE4277,0,0.0
GENE4278,0,0.0
GENE4279,0,0.0
GENE4280,0,0.0
GENE4281,0,0.0
GENE4282,0,0.0
GENE4283,0,0.0
GENE4284,0,0.0
GENE4285,0,0.0
GENE4286,0,0.0
GENE4287,0,0.0
GENE4288,0,0.0
GENE4289,0,0.0
GENE4290,0,0.0
GENE4291,0,0.0
GENE4292,0,0.0
GENE4293,0,0.0
GENE4294,0,0.0
GENE4295,0,0.0
GENE4296,0,0.0
GENE4297,0,0.0
GENE4298,0,0.0
GENE4299,0,0.0
GENE4300,0,0.0
GENE4301,0,0.0
GENE4302,0,0.0
GENE4303,1,2.928
GENE4304,0,0.0
GENE4305,0,0.0
GENE4306,0,0.0
GENE4307,0,0.0
GENE4308,0,0.0
GENE4309,1,-1.263
GENE4310,0,0.0
GENE4311,0,0.0
GENE4312,0,0.0
GENE4313,0,0.0
GENE4314,0,0.0
GENE4315,0,0.0
GENE4316,0,0.0
GENE4317,0,0.0
GENE4318,0,0.0
GENE4319,0,0.0
GENE4320,0,0.0
GENE4321,0,0.0
GENE4322,0,0.0
GENE4323,0,0.0
GENE4324,0,0.0
GENE4325,0,0.0
GENE4326,0,0.0
GENE4327,0,0.0
GENE4328,0,0.0
GENE4329,0,0.0
GENE4330,0,0.0
GENE4331,0,0.0
GENE4332,0,0.0
GENE4333,0,0.0
GENE4334,0,0.0
GENE4335,0,0.0
GENE4336,0,0.0
GENE4337,0,0.0
GENE4338,0,0.0
GENE4339,0,0.0
GENE4340,0,0.0
GENE4341,0,0.0
GENE4342,0,0.0
GENE4343,1,-2.729
GENE4344,0,0.0
GENE4345,0,0.0
GENE4346,0,0.0
GENE4347,0,0.0
GENE4348,0,0.0
GENE4349,0,0.0
GENE4350,0,0.0
GENE4351,0,0.0
GENE4352,0,0.0
GENE4353,0,0.0
GENE4354,0,0.0
GENE4355,0,0.0
GENE4356,0,0.0
GENE4357,1,2.699
GENE4358,0,0.0
GENE4359,0,0.0
GENE4360,1,2.093
GENE4361,0,0.0
GENE4362,0,0.0
GENE4363,0,0.0
GENE4364,0,0.0
GENE4365,0,0.0
GENE4366,1,-1.379
GENE4367,0,0.0
GENE4368,0,0.0
GENE4369,0,0.0
GENE4370,0,0.0
GENE4371,0,0.0
GENE4372,1,-1.932
GENE4373,0,0.0
GENE4374,1,-2.913
GENE4375,0,0.0
GENE4376,1,-1.051
GENE4377,0,0.0
GENE4378,0,0.0
GENE4379,0,0.0
GENE4380,0,0.0
GENE4381,0,0.0
GENE4382,0,0.0
GENE4383,0,0.0
GENE4384,1,-1.27
GENE4385,0,0.0
GENE4386,0,0.0
GENE4387,0,0.0
GENE4388,0,0.0
GENE4389,0,0.0
GENE4390,0,0.0
GENE4391,0,0.0
GENE4392,0,0.0
GENE4393,0,0.0
GENE4394,0,0.0
GENE4395,0,0.0
GENE4396,0,0.0
GENE4397,0,0.0
GENE4398,0,0.0
GENE4399,0,0.0
GENE4400,0,0.0
GENE4401,0,0.0
GENE4402,0,0.0
GENE4403,1,0.926
GENE4404,0,0.0
GENE4405,0,0.0
GENE4406,0,0.0
GENE4407,1,-1.034
GENE4408,0,0.0
GENE4409,0,0.0
GENE4410,1,-2.884
GENE4411,0,0.0
GENE4412,1,-1.55
GENE4413,0,0.0
GENE4414,0,0.0
GENE4415,0,0.0
GENE4416,0,0.0
GENE4417,0,0.0
GENE4418,0,0.0
GENE4419,0,0.0
GENE4420,0,0.0
GENE4421,0,0.0
GENE4422,0,0.0
GENE4423,0,0.0
GENE4424,0,0.0
GENE4425,0,0.0
GENE4426,0,0.0
GENE4427,0,0.0
GENE4428,0,0.0
GENE4429,0,0.0
GENE4430,0,0.0
GENE4431,0,0.0
GENE4432,0,0.0
GENE4433,0,0.0
GENE4434,0,0.0
GENE4435,0,0.0
GENE4436,0,0.0
GENE4437,0,0.0
GENE4438,0,0.0
GENE4439,0,0.0
GENE4440,0,0.0
GENE4441,0,0.0
GENE4442,0,0.0
GENE4443,0,0.0
GENE4444,0,0.0
GENE4445,0,0.0
GENE4446,0,0.0
GENE4447,0,0.0
GENE4448,0,0.0
GENE4449,0,0.0
GENE4450,0,0.0
GENE4451,0,0.0
GENE4452,0,0.0
GENE4453,0,0.0
GENE4454,0,0.0
GENE4455,0,0.0
GENE4456,0,0.0
GENE4457,0,0.0
GENE4458,0,0.0
GENE4459,0,0.0
GENE4460,0,0.0
GENE4461,0,0.0
GENE4462,0,0.0
GENE4463,0,0.0
GENE4464,0,0.0
GENE4465,0,0.0
GENE4466,1,2.998
GENE4467,1,-2.85
GENE4468,0,0.0
GENE4469,1,0.915
GENE4470,0,0.0
GENE4471,0,0.0
GENE4472,0,0.0
GENE4473,0,0.0
GENE4474,0,0.0
GENE4475,0,0.0
GENE4476,1,-2.172
GENE4477,0,0.0
GENE4478,0,0.0
GENE4479,0,0.0
GENE4480,0,0.0
GENE4481,0,0.0
GENE4482,0,0.0
GENE4483,0,0.0
GENE4484,0,0.0
GENE4485,0,0.0
GENE4486,0,0.0
GENE4487,0,0.0
GENE4488,0,0.0
GENE4489,0,0.0
GENE4490,0,0.0
GENE4491,0,0.0
GENE4492,0,0.0
GENE4493,0,0.0
GENE4494,0,0.0
GENE4495,0,0.0
GENE4496,0,0.0
GENE4497,0,0.0
GENE4498,0,0.0
GENE4499,0,0.0
GENE4500,0,0.0
GENE4501,0,0.0
GENE4502,0,0.0
GENE4503,1,-1.44
GENE4504,0,0.0
GENE4505,0,0.0
GENE4506,0,0.0
GENE4507,0,0.0
GENE4508,1,1.863
GENE4509,0,0.0
GENE4510,1,1.216
GENE4511,0,0.0
GENE4512,0,0.0
GENE4513,0,0.0
GENE4514,0,0.0
GENE4515,0,0.0
GENE4516,0,0.0
GENE4517,0,0.0
GENE4518,0,0.0
GENE4519,0,0.0
GENE4520,0,0.0
GENE4521,0,0.0
GENE4522,0,0.0
GENE4523,0,0.0
GENE4524,0,0.0
GENE4525,0,0.0
GENE4526,1,-1.221
GENE4527,0,0.0
GENE4528,1,2.853
GENE4529,0,0.0
GENE4530,0,0.0
GENE4531,0,0.0
GENE4532,0,0.0
GENE4533,0,0.0
GENE4534,1,0.838
GENE4535,1,-2.637
GENE4536,0,0.0
GENE4537,0,0.0
GENE4538,0,0.0
GENE4539,0,0.0
GENE4540,0,0.0
GENE4541,0,0.0
GENE4542,0,0.0
GENE4543,0,0.0
GENE4544,0,0.0
GENE4545,0,0.0
GENE4546,0,0.0
GENE4547,0,0.0
GENE4548,0,0.0
GENE4549,0,0.0
GENE4550,0,0.0
GENE4551,0,0.0
GENE4552,0,0.0
GENE4553,0,0.0
GENE4554,0,0.0
GENE4555,0,0.0
GENE4556,0,0.0
GENE4557,0,0.0
GENE4558,0,0.0
GENE4559,0,0.0
GENE4560,0,0.0
GENE4561,1,2.598
GENE4562,0,0.0
GENE4563,0,0.0
GENE4564,0,0.0
GENE4565,0,0.0
GENE4566,0,0.0
GENE4567,0,0.0
GENE4568,0,0.0
GENE4569,0,0.0
GENE4570,0,0.0
GENE4571,0,0.0
GENE4572,0,0.0
GENE4573,0,0.0
GENE4574,1,-2.414
GENE4575,0,0.0
GENE4576,0,0.0
GENE4577,0,0.0
GENE4578,0,0.0
GENE4579,0,0.0
GENE4580,0,0.0
GENE4581,0,0.0
GENE4582,1,-1.476
GENE4583,0,0.0
GENE4584,1,1.936
GENE4585,0,0.0
GENE4586,0,0.0
GENE4587,1,2.416
GENE4588,0,0.0
GENE4589,0,0.0
GENE4590,0,0.0
GENE4591,0,0.0
GENE4592,0,0.0
GENE4593,0,0.0
GENE4594,0,0.0
GENE4595,0,0.0
GENE4596,0,0.0
GENE4597,0,0.0
GENE4598,0,0.0
GENE4599,1,-1.798
GENE4600,0,0.0
GENE4601,0,0.0
GENE4602,0,0.0
GENE4603,0,0.0
GENE4604,0,0.0
GENE4605,0,0.0
GENE4606,0,0.0
GENE4607,0,0.0
GENE4608,0,0.0
GENE4609,0,0.0
GENE4610,0,0.0
GENE4611,0,0.0
GENE4612,0,0.0
GENE4613,0,0.0
GENE4614,0,0.0
GENE4615,0,0.0
GENE4616,0,0.0
GENE4617,0,0.0
GENE4618,0,0.0
GENE4619,0,0.0
GENE4620,0,0.0
GENE4621,0,0.0
GENE4622,0,0.0
GENE4623,0,0.0
GENE4624,1,2.781
GENE4625,0,0.0
GENE4626,1,-2.864
GENE4627,0,0.0
GENE4628,0,0.0
GENE4629,0,0.0
GENE4630,1,2.172
GENE4631,0,0.0
GENE4632,0,0.0
GENE4633,0,0.0
GENE4634,0,0.0
GENE4635,1,2.132
GENE4636,0,0.0
GENE4637,0,0.0
GENE4638,0,0.0
GENE4639,0,0.0
GENE4640,0,0.0
GENE4641,0,0.0
GENE4642,0,0.0
GENE4643,0,0.0
GENE4644,0,0.0
GENE4645,0,0.0
GENE4646,0,0.0
GENE4647,0,0.0
GENE4648,0,0.0
GENE4649,0,0.0
GENE4650,0,0.0
GENE4651,0,0.0
GENE4652,1,1.639
GENE4653,0,0.0
GENE4654,0,0.0
GENE4655,0,0.0
GENE4656,0,0.0
GENE4657,0,0.0
GENE4658,0,0.0
GENE4659,0,0.0
GENE4660,0,0.0
GENE4661,0,0.0
GENE4662,0,0.0
GENE4663,0,0.0
GENE4664,0,0.0
GENE4665,1,1.466
GENE4666,0,0.0
GENE4667,0,0.0
GENE4668,0,0.0
GENE4669,0,0.0
GENE4670,0,0.0
GENE4671,0,0.0
GENE4672,0,0.0
GENE4673,0,0.0
GENE4674,0,0.0
GENE4675,0,0.0
GENE4676,0,0.0
GENE4677,0,0.0
GENE4678,0,0.0
GENE4679,0,0.0
GENE4680,0,0.0
GENE4681,0,0.0
GENE4682,0,0.0
GENE4683,0,0.0
GENE4684,0,0.0
GENE4685,0,0.0
GENE4686,0,0.0
GENE4687,0,0.0
GENE4688,0,0.0
GENE4689,0,0.0
GENE4690,0,0.0
GENE4691,0,0.0
GENE4692,0,0.0
GENE4693,0,0.0
GENE4694,1,2.372
GENE4695,0,0.0
GENE4696,0,0.0
GENE4697,0,0.0
GENE4698,0,0.0
GENE4699,0,0.0
GENE4700,0,0.0
GENE4701,0,0.0
GENE4702,0,0.0
GENE4703,0,0.0
GENE4704,0,0.0
GENE4705,0,0.0
GENE4706,0,0.0
GENE4707,0,0.0
GENE4708,0,0.0
GENE4709,1,2.221
GENE4710,0,0.0
GENE4711,0,0.0
GENE4712,0,0.0
GENE4713,0,0.0
GENE4714,0,0.0
GENE4715,0,0.0
GENE4716,0,0.0
GENE4717,0,0.0
GENE4718,0,0.0
GENE4719,0,0.0
GENE4720,0,0.0
GENE4721,0,0.0
GENE4722,0,0.0
GENE4723,0,0.0
GENE4724,0,0.0
GENE4725,0,0.0
GENE4726,1,-1.181
GENE4727,0,0.0
GENE4728,0,0.0
GENE4729,0,0.0
GENE4730,0,0.0
GENE4731,0,0.0
GENE4732,0,0.0
GENE4733,1,1.615
GENE4734,0,0.0
GENE4735,0,0.0
GENE4736,0,0.0
GENE4737,0,0.0
GENE4738,0,0.0
GENE4739,0,0.0
GENE4740,0,0.0
GENE4741,0,0.0
GENE4742,1,2.272
GENE4743,0,0.0
GENE4744,0,0.0
GENE4745,0,0.0
GENE4746,0,0.0
GENE4747,0,0.0
GENE4748,0,0.0
GENE4749,0,0.0
GENE4750,0,0.0
GENE4751,0,0.0
GENE4752,0,0.0
GENE4753,0,0.0
GENE4754,0,0.0
GENE4755,0,0.0
GENE4756,0,0.0
GENE4757,1,2.929
GENE4758,0,0.0
GENE4759,0,0.0
GENE4760,0,0.0
GENE4761,0,0.0
GENE4762,0,0.0
GENE4763,1,-0.822
GENE4764,0,0.0
GENE4765,0,0.0
GENE4766,0,0.0
GENE4767,0,0.0
GENE4768,0,0.0
GENE4769,0,0.0
GENE4770,0,0.0
GENE4771,0,0.0
GENE4772,0,0.0
GENE4773,0,0.0
GENE4774,0,0.0
GENE4775,0,0.0
GENE4776,0,0.0
GENE4777,0,0.0
GENE4778,0,0.0
GENE4779,0,0.0
GENE4780,0,0.0
GENE4781,0,0.0
GENE4782,0,0.0
GENE4783,0,0.0
GENE4784,1,-1.049
GENE4785,1,2.864
GENE4786,0,0.0
GENE4787,0,0.0
GENE4788,0,0.0
GENE4789,0,0.0
GENE4790,0,0.0
GENE4791,0,0.0
GENE4792,0,0.0
GENE4793,0,0.0
GENE4794,0,0.0
GENE4795,0,0.0
GENE4796,0,0.0
GENE4797,0,0.0
GENE4798,0,0.0
GENE4799,0,0.0
GENE4800,0,0.0
GENE4801,0,0.0
GENE4802,1,1.582
GENE4803,0,0.0
GENE4804,0,0.0
GENE4805,0,0.0
GENE4806,0,0.0
GENE4807,0,0.0
GENE4808,0,0.0
GENE4809,0,0.0
GENE4810,0,0.0
GENE4811,0,0.0
GENE4812,0,0.0
GENE4813,0,0.0
GENE4814,0,0.0
GENE4815,0,0.0
GENE4816,0,0.0
GENE4817,0,0.0
GENE4818,0,0.0
GENE4819,0,0.0
GENE4820,0,0.0
GENE4821,0,0.0
GENE4822,0,0.0
GENE4823,0,0.0
GENE4824,0,0.0
GENE4825,0,0.0
GENE4826,0,0.0
GENE4827,1,-2.734
GENE4828,1,1.126
GENE4829,0,0.0
GENE4830,0,0.0
GENE4831,0,0.0
GENE4832,0,0.0
GENE4833,0,0.0
GENE4834,0,0.0
GENE4835,0,0.0
GENE4836,0,0.0
GENE4837,0,0.0
GENE4838,0,0.0
GENE4839,0,0.0
GENE4840,0,0.0
GENE4841,0,0.0
GENE4842,0,0.0
GENE4843,0,0.0
GENE4844,0,0.0
GENE4845,1,1.337
GENE4846,0,0.0
GENE4847,0,0.0
GENE4848,0,0.0
GENE4849,0,0.0
GENE4850,0,0.0
GENE4851,0,0.0
GENE4852,0,0.0
GENE4853,0,0.0
GENE4854,0,0.0
GENE4855,0,0.0
GENE4856,0,0.0
GENE4857,0,0.0
GENE4858,0,0.0
GENE4859,0,0.0
GENE4860,0,0.0
GENE4861,0,0.0
GENE4862,0,0.0
GENE4863,0,0.0
GENE4864,0,0.0
GENE4865,0,0.0
GENE4866,0,0.0
GENE4867,0,0.0
GENE4868,0,0.0
GENE4869,0,0.0
GENE4870,0,0.0
GENE4871,0,0.0
GENE4872,1,-1.54
GENE4873,0,0.0
GENE4874,0,0.0
GENE4875,0,0.0
GENE4876,0,0.0
GENE4877,0,0.0
GENE4878,0,0.0
GENE4879,0,0.0
GENE4880,0,0.0
GENE4881,1,2.759
GENE4882,1,-1.644
GENE4883,0,0.0
GENE4884,0,0.0
GENE4885,0,0.0
GENE4886,0,0.0
GENE4887,0,0.0
GENE4888,0,0.0
GENE4889,0,0.0
GENE4890,0,0.0
GENE4891,0,0.0
GENE4892,0,0.0
GENE4893,0,0.0
GENE4894,0,0.0
GENE4895,0,0.0
GENE4896,0,0.0
GENE4897,0,0.0
GENE4898,0,0.0
GENE4899,0,0.0
GENE4900,0,0.0
GENE4901,0,0.0
GENE4902,0,0.0
GENE4903,0,0.0
GENE4904,0,0.0
GENE4905,0,0.0
GENE4906,1,1.149
GENE4907,1,1.304
GENE4908,0,0.0
GENE4909,0,0.0
GENE4910,0,0.0
GENE4911,0,0.0
GENE4912,0,0.0
GENE4913,0,0.0
GENE4914,0,0.0
GENE4915,0,0.0
GENE4916,0,0.0
GENE4917,0,0.0
GENE4918,0,0.0
GENE4919,0,0.0
GENE4920,0,0.0
GENE4921,0,0.0
GENE4922,0,0.0
GENE4923,0,0.0
GENE4924,1,1.166
GENE4925,0,0.0
GENE4926,0,0.0
GENE4927,0,0.0
GENE4928,1,2.197
GENE4929,0,0.0
GENE4930,1,-0.827
GENE4931,1,2.972
GENE4932,0,0.0
GENE4933,0,0.0
GENE4934,0,0.0
GENE4935,0,0.0
GENE4936,0,0.0
GENE4937,0,0.0
GENE4938,0,0.0
GENE4939,1,1.149
GENE4940,0,0.0
GENE4941,0,0.0
GENE4942,1,1.995
GENE4943,0,0.0
GENE4944,0,0.0
GENE4945,0,0.0
GENE4946,0,0.0
GENE4947,0,0.0
GENE4948,0,0.0
GENE4949,0,0.0
GENE4950,0,0.0
GENE4951,0,0.0
GENE4952,0,0.0
GENE4953,0,0.0
GENE4954,0,0.0
GENE4955,0,0.0
GENE4956,0,0.0
GENE4957,0,0.0
GENE4958,0,0.0
GENE4959,0,0.0
GENE4960,0,0.0
GENE4961,0,0.0
GENE4962,0,0.0
GENE4963,1,-0.866
GENE4964,0,0.0
GENE4965,0,0.0
GENE4966,0,0.0
GENE4967,0,0.0
GENE4968,0,0.0
GENE4969,0,0.0
GENE4970,0,0.0
GENE4971,0,0.0
GENE4972,0,0.0
GENE4973,0,0.0
GENE4974,0,0.0
GENE4975,0,0.0
GENE4976,0,0.0
GENE4977,0,0.0
GENE4978,0,0.0
GENE4979,0,0.0
GENE4980,0,0.0
GENE4981,0,0.0
GENE4982,1,-1.448
GENE4983,0,0.0
GENE4984,0,0.0
GENE4985,1,1.381
GENE4986,0,0.0
GENE4987,0,0.0
GENE4988,0,0.0
GENE4989,0,0.0
GENE4990,1,1.799
GENE4991,0,0.0
GENE4992,0,0.0
GENE4993,0,0.0
GENE4994,1,-1.408
GENE4995,0,0.0
GENE4996,0,0.0
GENE4997,0,0.0
GENE4998,0,0.0
GENE4999,0,0.0
GENE5000,0,0.0
GENE5001,0,0.0
GENE5002,0,0.0
GENE5003,0,0.0
GENE5004,0,0.0
GENE5005,1,0.854
GENE5006,0,0.0
GENE5007,0,0.0
GENE5008,1,-2.501
GENE5009,0,0.0
GENE5010,0,0.0
GENE5011,0,0.0
GENE5012,1,-1.836
GENE5013,0,0.0
GENE5014,0,0.0
GENE5015,0,0.0
GENE5016,0,0.0
GENE5017,1,1.15
GENE5018,0,0.0
GENE5019,1,1.154
GENE5020,1,1.842
GENE5021,0,0.0
GENE5022,0,0.0
GENE5023,0,0.0
GENE5024,0,0.0
GENE5025,0,0.0
GENE5026,0,0.0
GENE5027,0,0.0
GENE5028,0,0.0
GENE5029,0,0.0
GENE5030,0,0.0
GENE5031,0,0.0
GENE5032,0,0.0
GENE5033,0,0.0
GENE5034,0,0.0
GENE5035,0,0.0
GENE5036,0,0.0
GENE5037,0,0.0
GENE5038,0,0.0
GENE5039,0,0.0
GENE5040,0,0.0
GENE5041,0,0.0
GENE5042,0,0.0
GENE5043,0,0.0
GENE5044,0,0.0
GENE5045,0,0.0
GENE5046,0,0.0
GENE5047,0,0.0
GENE5048,0,0.0
GENE5049,0,0.0
GENE5050,0,0.0
GENE5051,0,0.0
GENE5052,0,0.0
GENE5053,0,0.0
GENE5054,0,0.0
GENE5055,1,2.201
GENE5056,1,-1.5
GENE5057,0,0.0
GENE5058,0,0.0
GENE5059,0,0.0
GENE5060,0,0.0
GENE5061,0,0.0
GENE5062,0,0.0
GENE5063,0,0.0
GENE5064,0,0.0
GENE5065,0,0.0
GENE5066,0,0.0
GENE5067,0,0.0
GENE5068,0,0.0
GENE5069,0,0.0
GENE5070,0,0.0
GENE5071,0,0.0
GENE5072,0,0.0
GENE5073,0,0.0
GENE5074,0,0.0
GENE5075,0,0.0
GENE5076,0,0.0
GENE5077,1,-1.833
GENE5078,0,0.0
GENE5079,1,-2.982
GENE5080,0,0.0
GENE5081,0,0.0
GENE5082,0,0.0
GENE5083,1,-1.903
GENE5084,0,0.0
GENE5085,0,0.0
GENE5086,0,0.0
GENE5087,0,0.0
GENE5088,0,0.0
GENE5089,0,0.0
GENE5090,0,0.0
GENE5091,0,0.0
GENE5092,0,0.0
GENE5093,0,0.0
GENE5094,1,2.386
GENE5095,0,0.0
GENE5096,0,0.0
GENE5097,0,0.0
GENE5098,0,0.0
GENE5099,0,0.0
GENE5100,0,0.0
GENE5101,1,1.288
GENE5102,0,0.0
GENE5103,0,0.0
GENE5104,0,0.0
GENE5105,0,0.0
GENE5106,0,0.0
GENE5107,0,0.0
GENE5108,0,0.0
GENE5109,0,0.0
GENE5110,0,0.0
GENE5111,0,0.0
GENE5112,0,0.0
GENE5113,0,0.0
GENE5114,0,0.0
GENE5115,0,0.0
GENE5116,0,0.0
GENE5117,1,-2.559
GENE5118,0,0.0
GENE5119,0,0.0
GENE5120,0,0.0
GENE5121,1,1.902
GENE5122,1,2.885
GENE5123,0,0.0
GENE5124,0,0.0
GENE5125,0,0.0
GENE5126,1,-2.834
GENE5127,0,0.0
GENE5128,0,0.0
GENE5129,0,0.0
GENE5130,0,0.0
GENE5131,0,0.0
GENE5132,0,0.0
GENE5133,0,0.0
GENE5134,0,0.0
GENE5135,0,0.0
GENE5136,0,0.0
GENE5137,0,0.0
GENE5138,0,0.0
GENE5139,0,0.0
GENE5140,0,0.0
GENE5141,0,0.0
GENE5142,0,0.0
GENE5143,0,0.0
GENE5144,0,0.0
GENE5145,0,0.0
GENE5146,0,0.0
GENE5147,0,0.0
GENE5148,0,0.0
GENE5149,0,0.0
GENE5150,0,0.0
GENE5151,0,0.0
GENE5152,0,0.0
GENE5153,0,0.0
GENE5154,0,0.0
GENE5155,0,0.0
GENE5156,1,-1.383
GENE5157,0,0.0
GENE5158,1,-1.932
