gene,CTRL_1,CTRL_2,CTRL_3,CTRL_4,CTRL_5,CTRL_6,DIS_1,DIS_2,DIS_3,DIS_4,DIS_5,DIS_6
GENE4043,103,173,61,220,70,245,325,231,464,684,356,531
GENE4044,9,8,6,7,9,11,14,9,7,5,8,14
GENE4045,163,178,116,172,85,270,500,1499,857,1748,390,658
GENE4046,321,989,1519,527,411,1629,8247,9293,2748,9034,5354,5151
GENE4047,44,40,47,68,3,24,19,66,17,12,12,16
GENE4048,3,9,3,11,4,13,5,8,5,20,6,13
GENE4049,99,55,45,138,95,60,122,105,50,87,92,82
GENE4050,158,184,135,207,125,263,111,213,130,114,145,260
GENE4051,14,39,56,34,14,44,66,43,11,34,41,26
GENE4052,19,48,27,96,40,67,65,103,77,61,89,7
GENE4053,233,613,491,443,190,547,688,1810,698,1532,516,304
GENE4054,410,267,468,345,345,440,136,403,282,660,266,525
GENE4055,192,190,119,98,96,106,162,211,108,83,200,209
GENE4056,16,16,14,35,11,19,13,24,4,9,19,13
GENE4057,57,24,40,66,3,34,34,50,38,40,15,49
GENE4058,204,138,124,163,135,120,213,179,96,76,115,69
GENE4059,21,36,38,35,11,42,45,68,26,15,48,33
GENE4060,23,24,23,33,13,39,31,22,22,27,15,14
GENE4061,19,11,12,20,12,13,5,27,12,8,7,15
GENE4062,8,17,27,20,8,32,16,43,13,28,17,15
GENE4063,8,20,22,10,14,39,7,26,18,17,9,13
GENE4064,25,27,41,30,12,35,19,51,25,15,24,17
GENE4065,148,322,446,234,251,449,188,436,384,409,187,226
GENE4066,9,8,25,5,5,11,13,34,9,10,13,2
GENE4067,298,256,260,357,192,287,163,452,72,241,330,179
GENE4068,81,121,190,132,47,58,74,84,120,108,105,60
GENE4069,54,82,51,57,24,39,114,76,66,73,75,43
GENE4070,7,15,7,7,18,10,10,11,8,31,9,10
GENE4071,19,24,28,27,3,34,27,18,23,21,30,13
GENE4072,1167,798,1098,1219,778,2336,749,1612,966,1999,897,1503
GENE4073,65,109,72,101,66,64,70,129,37,154,86,41
GENE4074,126,267,165,135,40,144,135,178,105,203,104,90
GENE4075,87,171,169,135,146,248,182,121,74,131,154,136
GENE4076,205,161,591,408,43,364,194,270,101,262,251,134
GENE4077,10,53,38,21,24,40,23,39,34,30,33,16
GENE4078,10,18,28,14,10,28,136,115,194,84,180,84
GENE4079,34,55,26,23,42,53,22,41,57,80,36,31
GENE4080,66,36,30,39,15,30,56,77,15,13,12,29
GENE4081,111,256,171,163,96,265,22,27,19,45,41,21
GENE4082,37,73,94,46,27,107,423,1003,488,800,388,754
GENE4083,45,51,68,57,34,63,160,158,22,110,91,36
GENE4084,33,106,84,46,23,131,20,83,66,82,94,56
GENE4085,282,461,542,432,152,506,250,688,263,280,311,165
GENE4086,19,10,52,38,16,22,78,56,16,17,21,8
GENE4087,25,42,21,24,28,27,24,37,21,23,28,21
GENE4088,200,397,122,303,82,404,268,400,226,182,245,310
GENE4089,31,78,62,31,29,28,21,48,21,55,36,48
GENE4090,50,42,111,145,21,95,141,157,59,50,46,103
GENE4091,9,13,23,20,5,11,20,10,8,24,11,4
GENE4092,68,31,56,74,23,79,29,43,58,94,52,63
GENE4093,75,29,111,54,42,83,48,130,51,119,117,63
GENE4094,6,4,3,3,1,8,4,2,6,8,2,6
GENE4095,7,15,21,18,12,11,13,18,15,38,21,12
GENE4096,80,187,75,112,50,96,52,336,82,172,71,122
GENE4097,778,2463,1572,1017,1346,1122,2578,4049,1510,2008,1015,1776
GENE4098,73,59,100,36,80,67,54,102,105,77,76,120
GENE4099,38,25,66,22,36,61,190,341,203,583,311,333
GENE4100,5,5,14,30,0,25,9,16,9,24,9,20
GENE4101,28,133,68,91,56,192,80,114,65,146,107,76
GENE4102,3,1,5,1,2,4,3,2,1,5,5,0
GENE4103,53,26,36,56,32,98,33,71,45,70,50,15
GENE4104,25,15,27,28,28,34,28,24,46,13,26,37
GENE4105,5,11,21,19,3,16,14,33,26,21,12,28
GENE4106,1714,1422,1930,2070,1061,2183,15542,15519,17465,18681,6399,16875
GENE4107,3,3,2,1,2,5,5,5,2,7,2,1
GENE4108,28,53,62,91,28,43,60,55,7,63,78,29
GENE4109,37,84,51,61,20,60,27,54,42,57,42,68
GENE4110,150,102,131,59,64,203,162,191,47,127,84,97
GENE4111,7,1,4,7,10,5,4,2,4,4,1,9
GENE4112,17,33,21,31,26,49,27,95,44,53,30,26
GENE4113,1,4,4,3,1,4,2,3,6,8,0,4
GENE4114,31,47,25,21,21,30,34,110,39,41,42,89
GENE4115,35,43,82,47,51,90,57,36,50,78,57,137
GENE4116,63,37,94,43,30,66,166,204,142,332,315,264
GENE4117,12,57,52,69,27,38,66,40,11,55,20,20
GENE4118,65,103,63,40,34,59,64,49,18,56,38,17
GENE4119,24,66,24,76,80,94,32,75,40,86,60,61
GENE4120,69,80,151,87,87,166,51,68,99,184,133,103
GENE4121,51,49,45,116,26,58,101,106,40,39,42,47
GENE4122,1,3,4,3,3,2,3,6,4,4,3,4
GENE4123,9,18,7,15,10,17,13,12,7,22,19,10
GENE4124,101,135,80,60,56,111,46,134,40,119,91,90
GENE4125,7,15,13,15,3,12,5,28,4,12,15,13
GENE4126,8,17,9,10,11,9,9,23,8,20,12,7
GENE4127,48,54,21,56,13,47,35,27,31,99,28,125
GENE4128,48,70,37,49,22,64,31,43,22,37,38,44
GENE4129,194,165,222,322,117,320,235,296,240,204,183,155
GENE4130,97,96,154,153,142,101,103,73,75,100,214,94
GENE4131,24,20,25,62,20,23,25,34,7,29,24,22
GENE4132,46,63,63,40,43,39,124,64,58,27,63,29
GENE4133,2,5,9,3,2,4,1,5,4,3,2,2
GENE4134,14,15,34,8,11,15,3,6,3,2,3,3
GENE4135,31,25,61,21,30,92,41,56,20,26,26,19
GENE4136,0,1,0,5,2,6,6,2,2,6,6,1
GENE4137,13,31,29,45,34,16,32,59,29,40,28,34
GENE4138,43,80,67,98,44,60,105,88,24,32,35,37
GENE4139,462,243,184,369,98,221,168,192,171,201,148,146
GENE4140,69,33,130,88,48,95,152,118,117,162,173,95
GENE4141,1508,779,638,1251,504,1340,1126,797,456,1578,1233,626
GENE4142,536,509,628,664,360,699,515,823,281,804,711,670
GENE4143,7,6,1,2,1,2,5,7,7,4,4,10
GENE4144,68,40,9,44,29,23,16,70,16,90,31,49
GENE4145,15,26,39,50,27,65,44,11,25,30,60,44
GENE4146,53,87,72,61,14,33,82,86,52,69,55,55
GENE4147,20,25,28,43,11,19,27,50,10,22,32,22
GENE4148,205,230,48,260,115,116,168,148,50,224,95,128
GENE4149,140,164,197,52,71,176,248,243,52,183,146,203
GENE4150,1,5,6,2,3,8,5,11,2,5,6,0
GENE4151,96,130,117,161,90,264,191,275,148,424,127,197
GENE4152,27,12,19,9,13,49,21,21,24,16,7,11
GENE4153,63,492,274,604,146,232,176,129,59,90,85,62
GENE4154,56,109,121,216,43,151,184,159,89,171,103,106
GENE4155,28,26,45,45,17,50,21,58,41,44,34,31
GENE4156,1132,1132,1529,1137,255,1205,9242,9521,3409,6407,7646,4981
GENE4157,187,203,177,278,56,325,102,217,176,257,99,137
GENE4158,26,68,49,90,43,65,57,32,13,40,46,34
GENE4159,85,201,49,94,29,75,141,80,55,111,60,71
GENE4160,2207,3235,2899,1590,3337,3915,4749,2517,1584,2034,2283,3344
GENE4161,466,681,272,564,288,700,665,359,104,847,475,520
GENE4162,123,165,204,330,161,186,169,230,108,277,281,106
GENE4163,61,70,44,40,44,89,57,123,115,79,71,49
GENE4164,122,147,115,126,57,129,197,138,177,175,81,60
GENE4165,17,26,67,69,45,59,50,127,71,79,90,44
GENE4166,3,10,5,9,3,5,10,5,1,9,9,0
GENE4167,155,131,209,312,262,309,158,262,103,67,295,180
GENE4168,51,180,61,149,39,196,51,79,110,80,51,141
GENE4169,2,3,1,5,4,19,0,6,4,7,2,7
GENE4170,23,7,8,29,26,26,3,2,1,4,6,3
GENE4171,38,26,58,44,23,49,46,39,37,30,24,42
GENE4172,86,84,62,106,58,97,133,85,125,108,100,39
GENE4173,621,1291,785,658,140,653,1481,1133,599,839,628,1090
GENE4174,60,31,83,92,43,71,51,76,46,63,28,45
GENE4175,0,4,3,0,4,5,0,1,0,4,0,0
GENE4176,80,122,122,152,144,188,156,181,179,200,95,128
GENE4177,32,47,22,33,18,61,36,50,33,38,11,50
GENE4178,1,1,2,4,2,4,6,4,2,4,3,7
GENE4179,1,0,1,2,0,6,0,1,1,7,1,2
GENE4180,4,12,5,10,4,7,11,23,4,10,17,12
GENE4181,56,74,43,86,49,105,76,97,44,66,38,48
GENE4182,5,23,16,4,8,15,10,22,7,14,7,10
GENE4183,62,171,125,196,62,129,160,309,76,120,86,124
GENE4184,11,43,44,43,20,21,16,79,26,55,14,20
GENE4185,65,41,82,93,52,95,93,43,23,66,72,97
GENE4186,58,92,146,242,71,125,144,246,94,210,119,113
GENE4187,33,30,177,146,32,118,166,127,58,123,248,73
GENE4188,19,21,4,19,2,20,3,7,3,16,10,10
GENE4189,1162,764,1643,1190,537,1232,754,1468,1085,770,1133,1378
GENE4190,2,2,1,3,1,3,1,2,2,4,11,2
GENE4191,18,25,38,35,24,32,97,48,21,36,23,52
GENE4192,16,2,1,14,11,11,14,20,7,15,10,3
GENE4193,478,626,114,257,398,514,376,773,326,599,299,311
GENE4194,2,8,1,1,9,7,4,8,6,15,1,2
GENE4195,2,15,11,9,3,5,3,10,0,5,4,6
GENE4196,6,3,8,7,4,7,12,11,3,9,3,3
GENE4197,2,12,9,10,4,8,4,1,5,8,2,4
GENE4198,15,41,14,23,17,31,22,23,13,9,11,5
GENE4199,80,98,37,108,31,61,38,50,84,87,86,39
GENE4200,9,1,19,17,5,12,8,8,6,10,15,7
GENE4201,0,0,7,1,1,4,2,1,1,0,1,1
GENE4202,20,21,28,43,19,26,33,60,24,16,22,27
GENE4203,48,39,59,58,30,73,64,64,33,83,46,32
GENE4204,163,113,178,132,207,45,50,264,92,161,54,141
GENE4205,7,10,5,9,7,6,17,10,13,17,15,12
GENE4206,23,33,28,49,13,57,20,57,17,51,65,15
GENE4207,143,318,238,345,213,122,111,499,141,261,153,89
GENE4208,12,14,12,20,4,11,4,9,4,13,21,6
GENE4209,16,39,37,13,42,33,69,71,20,47,54,28
GENE4210,49,30,17,26,14,35,54,27,18,17,28,5
GENE4211,3,6,6,10,8,5,6,6,7,1,2,1
GENE4212,43,53,26,38,27,35,33,52,31,42,14,49
GENE4213,379,383,434,228,194,458,61,136,39,107,64,73
GENE4214,1165,2446,1282,2163,1530,976,2411,4306,1122,1597,1498,1345
GENE4215,0,5,3,4,2,9,16,10,1,2,8,8
GENE4216,292,336,386,231,64,216,847,3769,1492,3251,2543,1739
GENE4217,170,145,480,216,243,325,433,509,382,521,351,650
GENE4218,202,192,321,633,228,411,604,246,152,482,369,293
GENE4219,12,44,28,24,20,36,19,27,22,38,14,7
GENE4220,91,87,50,74,35,177,124,143,92,60,50,68
GENE4221,21,9,11,13,8,38,20,34,31,16,11,21
GENE4222,96,155,162,54,63,126,104,104,79,137,196,78
GENE4223,285,272,416,205,250,218,191,507,272,675,498,206
GENE4224,54,27,30,23,27,40,6,12,6,8,5,5
GENE4225,48,51,102,47,25,84,47,111,48,75,67,71
GENE4226,341,126,229,274,112,259,168,63,66,222,123,267
GENE4227,57,165,59,59,132,218,87,261,112,157,154,86
GENE4228,14,28,15,38,2,27,10,19,15,21,28,24
GENE4229,564,421,262,860,478,469,144,147,118,180,316,212
GENE4230,51,101,85,228,73,124,120,251,90,85,98,43
GENE4231,26,38,36,73,51,59,55,301,149,200,145,256
GENE4232,16,68,40,48,48,94,12,11,4,8,7,7
GENE4233,46,160,93,242,57,203,266,137,123,132,73,249
GENE4234,219,434,195,410,224,338,286,289,306,133,69,204
GENE4235,3,10,5,11,2,8,4,8,10,12,4,4
GENE4236,10,9,18,25,8,28,12,29,8,11,14,6
GENE4237,1,4,2,3,4,5,3,6,2,0,6,3
GENE4238,47,204,133,135,111,88,231,127,62,147,141,65
GENE4239,73,128,95,61,55,145,52,168,148,113,74,51
GENE4240,28,19,17,22,10,45,37,30,11,51,41,53
GENE4241,9,14,16,10,3,10,5,13,7,5,17,4
GENE4242,378,522,838,425,346,708,178,753,389,914,506,214
GENE4243,762,414,897,764,414,880,697,1006,290,864,237,859
GENE4244,555,1034,1273,866,397,340,343,403,257,716,438,888
GENE4245,22,50,48,63,25,93,76,31,79,97,39,34
GENE4246,40,64,45,49,38,77,64,54,50,43,59,48
GENE4247,49,67,36,39,44,64,35,98,54,89,28,59
GENE4248,38,51,61,45,20,42,337,367,276,468,368,156
GENE4249,6,3,5,14,5,6,6,5,7,8,4,5
GENE4250,14,21,13,24,15,15,22,25,11,11,25,11
GENE4251,176,156,245,84,81,222,154,145,225,194,142,259
GENE4252,26,66,38,45,16,52,38,67,58,14,94,39
GENE4253,24,30,16,20,6,27,10,13,31,27,52,10
GENE4254,39,111,13,24,25,41,24,63,22,47,13,32
GENE4255,570,1195,1289,643,543,632,460,1734,1056,1954,673,481
GENE4256,331,534,425,358,381,624,693,786,636,646,433,295
GENE4257,184,263,323,161,168,225,364,674,417,114,258,385
GENE4258,93,122,128,107,40,100,59,80,63,66,80,59
GENE4259,4,8,2,8,5,21,5,11,3,1,8,8
GENE4260,34,31,20,102,34,73,684,780,383,884,287,788
GENE4261,45,59,40,45,12,33,26,62,10,70,18,35
GENE4262,97,78,118,278,47,151,174,276,94,124,122,47
GENE4263,259,228,239,200,341,414,410,304,228,377,387,330
GENE4264,21,39,10,12,4,17,16,53,24,17,22,11
GENE4265,269,321,407,672,150,327,556,1189,314,471,457,323
GENE4266,36,58,34,79,11,168,60,53,53,76,91,29
GENE4267,47,64,80,63,39,32,58,67,49,65,69,61
GENE4268,36,9,29,28,12,71,22,15,27,14,36,10
GENE4269,19,20,36,34,12,45,39,45,33,29,20,27
GENE4270,36,84,47,78,70,67,30,38,25,18,40,26
GENE4271,28,71,20,38,21,35,41,135,39,35,22,41
GENE4272,14,30,33,46,8,12,28,66,22,44,28,40
GENE4273,15,65,24,46,24,43,209,197,238,507,66,72
GENE4274,1189,1554,2861,2458,871,1531,744,1192,930,1622,1237,735
GENE4275,38,13,27,34,35,42,26,85,19,37,38,22
GENE4276,108,261,82,291,69,281,135,304,97,140,187,94
GENE4277,56,50,43,133,21,51,57,60,72,46,67,47
GENE4278,1,0,4,1,1,2,2,8,3,1,3,6
GENE4279,4189,5251,11411,6590,6428,10959,11347,9210,5286,5809,4796,4867
GENE4280,26,43,41,50,21,80,45,43,49,38,34,64
GENE4281,22,16,21,17,7,12,19,18,3,21,15,9
GENE4282,298,661,380,220,222,605,391,599,289,399,327,673
GENE4283,755,622,231,614,233,1202,498,753,349,669,536,564
GENE4284,16,18,15,28,8,8,9,21,13,36,27,10
GENE4285,12,13,18,9,5,9,3,22,12,19,8,9
GENE4286,15,29,14,16,18,9,8,7,11,11,4,8
GENE4287,117,109,61,151,36,102,94,140,63,91,50,122
GENE4288,96,80,71,68,75,60,85,122,11,74,45,29
GENE4289,144,137,300,159,76,203,223,79,101,278,25,134
GENE4290,18,32,71,50,36,20,55,44,27,30,22,21
GENE4291,1,23,7,33,12,34,26,27,11,24,8,16
GENE4292,40,64,32,92,30,74,26,100,46,46,27,37
GENE4293,13,37,17,39,16,21,19,40,18,17,23,23
GENE4294,154,194,115,212,139,144,254,232,87,263,75,50
GENE4295,59,122,70,154,69,89,46,172,64,111,77,139
GENE4296,64,135,229,146,69,241,126,71,72,267,143,124
GENE4297,145,47,94,73,77,142,131,161,54,81,52,41
GENE4298,32,28,28,12,21,34,21,25,17,28,24,23
GENE4299,3,4,6,4,2,2,4,4,2,7,2,0
GENE4300,274,377,315,323,208,304,308,781,289,228,314,256
GENE4301,403,345,338,406,62,350,243,403,252,686,305,270
GENE4302,5,15,13,15,3,20,20,21,34,7,20,11
GENE4303,265,392,300,323,55,397,852,2814,1545,1110,1860,1149
GENE4304,57,78,88,113,26,109,82,59,55,77,98,61
GENE4305,40,49,58,21,28,19,73,29,29,75,30,39
GENE4306,40,35,52,33,63,76,28,80,26,80,31,41
GENE4307,18,23,13,18,7,16,15,18,8,16,2,11
GENE4308,39,58,47,54,24,58,25,32,63,34,80,31
GENE4309,62,49,33,12,46,52,20,28,32,27,21,30
GENE4310,43,100,73,58,43,55,61,153,129,66,64,63
GENE4311,20,23,11,13,7,21,10,6,9,28,18,10
GENE4312,117,100,63,81,34,157,121,154,105,168,122,182
GENE4313,15,16,18,13,15,29,19,9,25,20,25,16
GENE4314,14,28,17,36,13,35,18,47,19,9,39,8
GENE4315,42,81,47,57,35,64,51,93,60,48,72,20
GENE4316,25,38,22,28,12,8,18,17,15,25,8,41
GENE4317,2,12,14,5,6,11,15,22,10,13,10,7
GENE4318,22,20,16,30,12,26,21,27,25,16,21,3
GENE4319,16,28,10,18,14,26,27,26,9,20,18,12
GENE4320,19,115,55,52,31,27,65,102,48,82,70,68
GENE4321,145,225,128,244,26,139,142,86,91,136,87,86
GENE4322,62,97,122,191,46,169,91,100,52,225,93,81
GENE4323,9,24,19,22,5,21,8,23,5,15,22,6
GENE4324,25,56,56,32,15,24,20,29,15,25,28,25
GENE4325,64,123,99,212,62,55,118,87,51,77,154,64
GENE4326,1,3,1,1,0,1,4,4,1,4,1,3
GENE4327,122,196,293,272,149,298,126,361,272,154,137,178
GENE4328,403,649,241,245,214,293,322,141,215,361,500,298
GENE4329,173,103,139,132,64,125,233,153,61,162,162,133
GENE4330,0,0,1,2,2,4,3,1,2,2,3,1
GENE4331,75,55,68,71,46,82,54,156,38,54,55,50
GENE4332,0,3,5,1,0,3,5,3,4,2,4,3
GENE4333,201,205,178,170,103,181,98,131,283,378,219,431
GENE4334,0,3,5,0,2,2,1,2,2,5,3,3
GENE4335,5,5,1,6,2,5,3,1,5,3,1,3
GENE4336,59,84,92,178,63,54,48,66,59,89,92,66
GENE4337,3,4,4,5,2,15,6,2,4,6,1,5
GENE4338,1,2,5,3,1,4,2,1,3,3,2,3
GENE4339,7,7,3,12,8,12,8,7,6,6,7,5
GENE4340,93,87,120,192,26,98,53,180,40,35,106,89
GENE4341,3,13,9,16,2,19,2,12,4,7,10,8
GENE4342,11,6,15,15,1,6,2,16,3,9,11,5
GENE4343,30,84,59,123,39,75,12,10,9,13,10,8
GENE4344,85,34,48,65,18,34,60,53,11,50,63,94
GENE4345,162,304,426,154,296,206,409,507,197,480,500,379
GENE4346,100,234,302,346,112,182,149,352,192,124,234,171
GENE4347,29,31,53,25,17,15,54,21,23,37,32,40
GENE4348,7,8,28,17,9,26,9,32,20,18,22,17
GENE4349,256,167,318,182,131,373,213,221,151,624,246,155
GENE4350,23,19,17,21,12,11,28,23,26,18,15,17
GENE4351,4,6,7,6,8,14,14,9,3,6,6,7
GENE4352,101,38,85,140,66,161,108,75,79,48,165,93
GENE4353,27,26,25,15,4,17,23,50,11,9,13,19
GENE4354,5,5,8,2,2,7,0,10,3,7,0,3
GENE4355,102,274,46,145,90,90,53,115,140,130,175,98
GENE4356,188,112,321,193,173,194,260,315,123,191,194,135
GENE4357,9,3,4,19,2,5,44,76,21,35,55,65
GENE4358,13,7,33,45,8,31,20,18,16,47,62,21
GENE4359,32,31,16,37,19,31,1,17,9,17,9,9
GENE4360,33,27,14,63,45,49,289,274,113,260,68,79
GENE4361,22,18,14,29,9,29,24,31,20,18,7,37
GENE4362,4,2,4,2,6,3,8,8,2,1,8,4
GENE4363,37,59,33,26,13,60,46,109,57,62,28,52
GENE4364,29,26,24,21,26,12,13,77,11,13,23,32
GENE4365,16,52,60,52,40,107,29,97,28,46,93,57
GENE4366,121,149,128,108,101,218,42,92,48,53,40,36
GENE4367,81,185,114,221,92,100,74,316,109,413,294,120
GENE4368,58,128,53,85,59,137,70,150,94,74,70,86
GENE4369,0,4,1,0,2,0,1,4,2,4,9,3
GENE4370,10,3,5,4,6,20,11,12,12,9,4,7
GENE4371,37,91,63,63,21,93,121,86,53,102,54,40
GENE4372,246,98,202,283,93,201,70,99,37,35,17,46
GENE4373,7,7,6,10,3,20,3,18,5,8,8,11
GENE4374,8,28,19,28,17,12,0,2,1,0,1,3
GENE4375,671,521,980,1030,469,774,699,1612,392,1146,433,415
GENE4376,2,6,1,1,3,3,2,2,2,1,0,0
GENE4377,29,48,15,28,11,40,31,83,38,51,10,20
GENE4378,16,27,16,12,5,32,19,9,3,30,29,12
GENE4379,19,44,21,21,8,55,18,33,16,22,21,21
GENE4380,19,20,26,24,21,21,20,48,18,22,31,8
GENE4381,193,176,168,148,42,156,153,112,95,111,146,183
GENE4382,202,232,158,179,172,185,290,229,300,329,202,161
GENE4383,2313,6421,6793,5884,7342,9141,7600,5666,9801,10503,4937,5760
GENE4384,606,1270,1645,623,167,1680,411,518,453,515,516,369
GENE4385,47,71,55,58,22,38,52,66,37,37,45,31
GENE4386,35,112,55,165,13,79,60,75,123,85,61,35
GENE4387,121,259,414,581,221,212,464,313,170,534,309,166
GENE4388,3738,2636,2006,5920,1808,4126,3743,2567,3311,2660,4736,4327
GENE4389,45,55,26,38,25,39,47,61,14,43,28,31
GENE4390,67,122,146,64,79,141,104,162,93,136,154,29
GENE4391,15,22,31,39,32,18,19,77,33,66,48,61
GENE4392,279,491,295,364,130,707,418,543,358,125,196,419
GENE4393,4,11,10,11,2,7,5,10,7,4,2,6
GENE4394,53,55,47,190,41,16,27,80,57,83,74,59
GENE4395,3,8,9,9,6,3,3,5,3,14,5,6
GENE4396,34,133,65,89,54,113,96,51,49,141,92,68
GENE4397,62,136,168,204,185,302,376,166,75,143,135,157
GENE4398,23,9,18,28,21,17,47,32,11,32,22,33
GENE4399,14,25,28,23,25,31,60,55,23,28,25,19
GENE4400,338,164,326,304,197,520,272,341,126,277,457,385
GENE4401,30,72,55,61,21,79,34,65,27,46,22,10
GENE4402,112,107,101,56,55,159,99,212,75,66,95,165
GENE4403,15,20,19,34,27,68,70,80,76,94,70,41
GENE4404,7,19,6,10,14,11,12,21,5,27,13,20
GENE4405,9,22,17,27,6,13,81,145,300,236,203,214
GENE4406,944,395,1490,2001,350,2594,1163,2103,1455,2237,2257,1393
GENE4407,15,30,42,31,11,46,21,18,10,27,19,7
GENE4408,16,80,64,117,22,32,86,80,30,102,59,47
GENE4409,191,451,269,678,430,243,604,334,232,882,257,323
GENE4410,67,135,83,74,43,93,16,14,22,14,11,9
GENE4411,53,190,137,128,69,159,145,177,260,107,221,132
GENE4412,1105,2242,2767,1096,2075,2122,1354,819,1139,1302,833,453
GENE4413,153,250,303,292,66,148,261,379,155,203,250,235
GENE4414,12,14,12,13,5,22,13,14,10,4,10,15
GENE4415,124,198,231,179,153,124,144,76,169,113,149,133
GENE4416,28,12,10,25,12,14,9,28,14,42,22,27
GENE4417,11,7,12,41,10,39,37,38,32,23,21,35
GENE4418,161,313,192,298,196,117,205,428,318,257,242,188
GENE4419,48,90,69,41,37,30,44,127,61,65,45,20
GENE4420,29,57,20,28,21,47,21,54,10,61,40,17
GENE4421,26,16,24,20,20,34,20,25,25,29,1,37
GENE4422,24,66,73,119,83,76,70,124,28,45,54,39
GENE4423,19,49,49,28,8,22,48,50,16,22,53,29
GENE4424,351,332,142,253,130,597,384,242,203,211,222,101
GENE4425,95,64,89,49,25,80,33,188,63,73,69,60
GENE4426,42,63,50,46,26,36,67,34,28,37,37,43
GENE4427,4197,5089,4598,6947,6924,6540,6128,14098,5003,3736,14119,12030
GENE4428,131,116,153,106,40,123,80,62,54,56,85,62
GENE4429,14,25,13,18,10,7,18,34,23,34,25,17
GENE4430,4,2,2,6,2,2,6,10,8,2,8,3
GENE4431,8,9,10,13,6,9,1,8,13,7,8,7
GENE4432,4,10,4,5,4,4,5,10,5,5,9,9
GENE4433,46,49,59,116,31,58,29,140,34,22,32,38
GENE4434,35,101,17,55,34,64,38,126,25,72,53,87
GENE4435,53,105,142,115,107,177,128,114,138,135,207,129
GENE4436,5,8,2,21,13,6,10,6,9,7,4,6
GENE4437,25,34,30,25,22,29,17,36,9,69,31,18
GENE4438,18,23,24,22,21,16,11,43,20,30,18,25
GENE4439,784,1507,431,806,416,666,1297,887,361,1154,686,510
GENE4440,56,52,53,164,44,32,93,40,63,56,89,43
GENE4441,50,88,153,117,99,106,147,110,56,93,130,158
GENE4442,282,253,74,325,325,302,318,210,583,319,109,219
GENE4443,63,25,93,138,33,98,22,87,69,69,74,65
GENE4444,51,20,50,87,50,39,63,85,43,84,42,29
GENE4445,16,18,23,56,10,19,13,24,32,25,30,9
GENE4446,23,20,32,28,10,40,33,52,30,16,27,14
GENE4447,33,89,38,39,17,32,39,75,10,48,66,48
GENE4448,30,34,39,41,19,43,29,9,52,83,45,47
GENE4449,17,35,42,62,21,66,18,11,71,45,14,47
GENE4450,1790,1183,1225,597,367,1400,677,1782,967,639,849,1838
GENE4451,5,6,10,7,4,3,7,4,10,10,2,4
GENE4452,0,2,2,2,1,8,0,7,1,1,0,1
GENE4453,111,120,64,115,63,61,75,126,61,44,60,108
